epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,123087,1.12355,1.42243,1.27926,0.63471,0.47751,0.52556,0.37801,1.0493,1.16648,1.20181,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,126837,1.11857,1.41078,1.27743,0.64097,0.47714,0.52877,0.38072,1.04704,1.15921,1.19848,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,130581,1.11414,1.39892,1.27312,0.64395,0.4783,0.53138,0.38326,1.04467,1.15317,1.19566,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,134332,1.1084,1.38576,1.26692,0.6452,0.48095,0.53445,0.38591,1.0425,1.14664,1.19277,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,138080,1.10459,1.37566,1.26543,0.64261,0.48619,0.53693,0.38776,1.03958,1.14053,1.18941,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,141833,1.10016,1.36419,1.26091,0.64107,0.49203,0.53944,0.38954,1.03687,1.1345,1.1866,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,145596,1.09462,1.34899,1.25638,0.64944,0.48961,0.54122,0.39073,1.03481,1.12939,1.18443,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,149351,1.08993,1.33126,1.25173,0.65364,0.49259,0.54405,0.39291,1.03282,1.12448,1.18249,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,153103,1.08386,1.31895,1.24831,0.65718,0.49419,0.54666,0.39489,1.03097,1.11981,1.18076,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,156855,1.05085,1.20233,1.21925,0.65311,0.49925,0.54906,0.39686,1.0285,1.11568,1.17843,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,160612,1.04426,1.1796,1.21377,0.64951,0.50283,0.55105,0.39837,1.0266,1.11216,1.17631,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,164368,1.03468,1.16062,1.20738,0.65355,0.50505,0.55297,0.40003,1.02547,1.10877,1.17506,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,168130,1.0266,1.14095,1.20125,0.65391,0.50733,0.55479,0.40153,1.02397,1.10607,1.17331,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,171887,1.01921,1.12097,1.19413,0.6573,0.5083,0.55661,0.40289,1.02227,1.10307,1.17139,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,175661,1.01026,1.1,1.18812,0.66347,0.50936,0.55819,0.40461,1.02114,1.10068,1.16999,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,179429,1.00333,1.08304,1.18283,0.66308,0.51226,0.55994,0.40577,1.02033,1.09824,1.16866,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,183190,0.99596,1.06226,1.1772,0.67053,0.5104,0.56124,0.40672,1.01929,1.09642,1.16728,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,186943,0.98737,1.04457,1.16992,0.67177,0.51026,0.56234,0.40786,1.01837,1.09414,1.16572,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,190701,0.97976,1.02672,1.16417,0.67289,0.51069,0.56349,0.4089,1.01784,1.09142,1.16464,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
